"NEXUS","Customer Flying History","09/07/2018",
"     ","",
"Customer Name","Route","Departure","Departure","A/C","Rotation",
"","","Date","Time","","",
 
"NEXUS FLIGHT OPERATIONS SERVICES","4339","20/04/2017","18:40","ERJ","CAI-RUH",
"NEXUS FLIGHT OPERATIONS SERVICES","4340","29/04/2017","20:20","CR2","BAH-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","4344","21/06/2017","00:25","ADH","JED-HYD",
"NEXUS FLIGHT OPERATIONS SERVICES","4345","20/04/2017","06:00","ADH","JED-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","4346","22/04/2017","23:30","ADH","JED-FRA-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4349","24/04/2017","01:50","ADH","JED-LAX-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4353","22/06/2017","20:30","ADH","JED-BOM-IXU",
"NEXUS FLIGHT OPERATIONS SERVICES","4358","22/06/2017","17:05","ADH","JED-AMM",
"NEXUS FLIGHT OPERATIONS SERVICES","4371","25/04/2017","12:00","ADH","JED-DMM-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4376","22/06/2017","19:20","ADH","DMM-HBE",
"NEXUS FLIGHT OPERATIONS SERVICES","4380","01/05/2017","04:30","ADH","JED-RUH-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4381","30/04/2017","11:00","ADH","DMM-RUH",
"NEXUS FLIGHT OPERATIONS SERVICES","4387","22/06/2017","05:30","ADH","JED-KHI",
"NEXUS FLIGHT OPERATIONS SERVICES","4392","29/04/2017","17:00","ADH","JED-RUH",
"NEXUS FLIGHT OPERATIONS SERVICES","4398","01/05/2017","16:20","ADH","DMM-MNL",
"NEXUS FLIGHT OPERATIONS SERVICES","4399","02/05/2017","05:00","ADH","DMM-JED-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","4402","02/05/2017","05:00","ADH","DMM-JED-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","4410","04/05/2017","07:45","ADH","JED-DXB-MNL",
"NEXUS FLIGHT OPERATIONS SERVICES","4412","04/05/2017","11:05","ADH","DMM-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4414","02/05/2017","18:00","ADH","JED-RUH-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4416","20/05/2017","21:40","ADH","DMM-FRA-GVA-FRA-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","4421","07/05/2017","08:30","ADH","LHR-FRA-DMM-JED-FRA-LHR",
"NEXUS FLIGHT OPERATIONS SERVICES","4431","10/05/2017","07:00","ADH","DMM-JED-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","4432","15/07/2017","20:05","ADH","DMM-MNL",
"NEXUS FLIGHT OPERATIONS SERVICES","4449","14/05/2017","13:15","ADH","DMM-DXB-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","4460","14/05/2017","18:00","ADH","JED-DMM-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4481","17/05/2017","19:00","ADH","RUH-JED-RUH",
"NEXUS FLIGHT OPERATIONS SERVICES","4488","21/05/2017","05:00","ADH","JED-ELQ",
"NEXUS FLIGHT OPERATIONS SERVICES","4489","21/05/2017","05:00","ADH","DMM-JED-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","4495","21/05/2017","14:45","ADH","JED-DXB-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4497","01/06/2017","21:40","ADH","DMM-FRA-AMS",
"NEXUS FLIGHT OPERATIONS SERVICES","4502","23/05/2017","05:00","ADH","RUH-JED-RUH",
"NEXUS FLIGHT OPERATIONS SERVICES","4503","27/05/2017","23:45","ADH","IAH-DOH-DMM-DOH-IAH",
"NEXUS FLIGHT OPERATIONS SERVICES","4504","23/05/2017","05:45","ADH","JED-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4509","24/05/2017","03:20","ERJ","DMM-JED-RUH-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4510","24/05/2017","05:35","ADH","RUH-IST",
"NEXUS FLIGHT OPERATIONS SERVICES","4516","23/06/2017","05:20","ADH","DXB-MNL-DXB",
"NEXUS FLIGHT OPERATIONS SERVICES","4520","26/05/2017","22:15","ADH","JED-JNB",
"NEXUS FLIGHT OPERATIONS SERVICES","4521","21/06/2017","00:25","ADH","JED-HYD",
"NEXUS FLIGHT OPERATIONS SERVICES","4523","29/06/2017","01:00","CR2","JED-KGL-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4526","27/06/2017","16:10","ADH","KGL-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4529","26/06/2017","10:00","ADH","DMM-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4534","27/05/2017","17:50","ADH","PEK-DOH-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4547","29/05/2017","14:00","ADH","JED-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","4551","02/06/2017","05:00","ADH","MNL-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","4552","02/06/2017","00:40","ADH","DMM-MCT-MNL",
"NEXUS FLIGHT OPERATIONS SERVICES","4562","11/07/2017","13:15","ERJ","GVA-DXB",
"NEXUS FLIGHT OPERATIONS SERVICES","4563","09/06/2017","04:10","ADH","VIE-FRA-MLA-VIE",
"NEXUS FLIGHT OPERATIONS SERVICES","4565","27/06/2017","21:00","ADH","IAD-JED-IAD",
"NEXUS FLIGHT OPERATIONS SERVICES","4580","07/06/2017","07:10","ADH","DMM-JED-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","4586","07/06/2017","11:00","ADH","DMM-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4587","07/06/2017","14:00","ADH","DHA-DHA",
"NEXUS FLIGHT OPERATIONS SERVICES","4588","08/06/2017","08:55","ADH","JNB-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4589","19/06/2017","10:50","ADH","VIE-LHR-VIE",
"NEXUS FLIGHT OPERATIONS SERVICES","4603","12/06/2017","02:25","ADH","JED-DXB-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4607","18/06/2017","08:25","ADH","DUB-AUH-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","4608","21/07/2017","13:00","ADH","DXB-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4614","21/06/2017","18:30","ADH","MAN-ALC",
"NEXUS FLIGHT OPERATIONS SERVICES","4627","18/06/2017","11:00","ADH","JED-RUH-JED",
"NEXUS FLIGHT OPERATIONS SERVICES","4629","06/07/2017","11:10","ADH","DMM-CCJ-DMM",
"NEXUS FLIGHT OPERATIONS SERVICES","4634","08/07/2017","07:45","ADH","JED-DXB-MNL",
